id,valeur_CO,valeur_NO2,valeur_O3,valeur_PM10,valeur_PM25,hour,dayofweek,month,dayofyear,is_weekend,is_holiday
2020-01-01 00:00:00,0.718,42.9,15.7,73.1,64.4,0,2,1,1,0,1
2020-01-01 01:00:00,0.587,33.6,10.1,74.8,66.0,1,2,1,1,0,1
2020-01-01 02:00:00,0.3149042817460318,29.3,5.1,51.0,44.9,2,2,1,1,0,1
2020-01-01 03:00:00,0.246,30.5,7.2,27.7,25.1,3,2,1,1,0,1
2020-01-01 04:00:00,0.204,29.3,8.3,15.3,13.6,4,2,1,1,0,1
2020-01-01 05:00:00,0.242,32.5,5.5,13.9,13.2,5,2,1,1,0,1
2020-01-01 06:00:00,0.254,30.9,4.0,18.9,17.4,6,2,1,1,0,1
2020-01-01 07:00:00,0.253,25.8,3.9,20.6,17.3,7,2,1,1,0,1
2020-01-01 08:00:00,0.28,22.1,4.9,18.6,17.1,8,2,1,1,0,1
2020-01-01 09:00:00,0.289,21.0,6.4,19.8,16.5,9,2,1,1,0,1
2020-01-01 10:00:00,0.302,20.8,8.1,19.1,17.1,10,2,1,1,0,1
2020-01-01 11:00:00,0.295,21.0,8.8,21.6,17.8,11,2,1,1,0,1
2020-01-01 12:00:00,0.308,24.6,7.9,24.7,21.7,12,2,1,1,0,1
2020-01-01 13:00:00,0.302,26.9,6.8,27.3,26.0,13,2,1,1,0,1
2020-01-01 14:00:00,0.279,26.3,7.1,27.5,23.3,14,2,1,1,0,1
2020-01-01 15:00:00,0.317,30.1,5.3,25.6,22.3,15,2,1,1,0,1
2020-01-01 16:00:00,0.32,30.5,3.8,26.3,23.1,16,2,1,1,0,1
2020-01-01 17:00:00,0.331,30.9,4.0,23.2,19.8,17,2,1,1,0,1
2020-01-01 18:00:00,0.367,30.5,4.8,25.1,20.8,18,2,1,1,0,1
2020-01-01 19:00:00,0.38,30.7,4.6,28.0,21.6,19,2,1,1,0,1
2020-01-01 20:00:00,0.348,28.2,4.8,25.9,22.8,20,2,1,1,0,1
2020-01-01 21:00:00,0.32,27.3,3.9,23.5,20.6,21,2,1,1,0,1
2020-01-01 22:00:00,0.309,26.3,3.9,22.0,21.3,22,2,1,1,0,1
2020-01-01 23:00:00,0.315,24.1,3.4,21.7,21.5,23,2,1,1,0,1
2020-01-02 00:00:00,0.309,21.6,3.2,20.7,16.8,0,3,1,2,0,0
2020-01-02 01:00:00,0.31,21.3,3.4,18.5,16.0,1,3,1,2,0,0
2020-01-02 02:00:00,0.3363284767378215,21.0,3.7,16.8,16.3,2,3,1,2,0,0
2020-01-02 03:00:00,0.302,21.3,3.7,15.0,14.3,3,3,1,2,0,0
2020-01-02 04:00:00,0.305,23.5,2.5,15.6,12.4,4,3,1,2,0,0
2020-01-02 05:00:00,0.332,27.4,2.1,15.1,12.8,5,3,1,2,0,0
2020-01-02 06:00:00,0.335,29.8,1.9,17.7,14.1,6,3,1,2,0,0
2020-01-02 07:00:00,0.434,37.2,2.5,17.3,13.6,7,3,1,2,0,0
2020-01-02 08:00:00,0.465,39.8,3.0,19.8,13.4,8,3,1,2,0,0
2020-01-02 09:00:00,0.474,44.2,4.9,22.6,15.9,9,3,1,2,0,0
2020-01-02 10:00:00,0.346,44.9,9.4,23.8,15.4,10,3,1,2,0,0
2020-01-02 11:00:00,0.277,38.9,15.1,19.7,13.9,11,3,1,2,0,0
2020-01-02 12:00:00,0.28,39.3,17.6,17.1,12.8,12,3,1,2,0,0
2020-01-02 13:00:00,0.272,41.1,19.1,21.0,10.8,13,3,1,2,0,0
2020-01-02 14:00:00,0.255,42.2,21.7,16.6,10.1,14,3,1,2,0,0
2020-01-02 15:00:00,0.239,46.0,19.9,18.6,9.7,15,3,1,2,0,0
2020-01-02 16:00:00,0.269,52.3,13.4,13.4,8.0,16,3,1,2,0,0
2020-01-02 17:00:00,0.309,55.1,8.9,16.2,9.5,17,3,1,2,0,0
2020-01-02 18:00:00,0.283,44.5,12.9,20.1,12.7,18,3,1,2,0,0
2020-01-02 19:00:00,0.286,45.7,9.9,24.3,17.7,19,3,1,2,0,0
2020-01-02 20:00:00,0.25,37.8,16.8,26.6,16.6,20,3,1,2,0,0
2020-01-02 21:00:00,0.214,27.1,30.1,20.9,13.9,21,3,1,2,0,0
2020-01-02 22:00:00,0.211,21.8,36.8,17.3,12.2,22,3,1,2,0,0
