id,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,hour_day_interaction,hour_month_interaction,day_month_interaction,weekend_hour_interaction,weekend_month_interaction,time_since_midnight,time_since_week_start,is_monday,is_friday,is_end_of_month,is_beginning_of_month,valeur_CO,valeur_NO2,valeur_O3,valeur_PM10,valeur_PM25
2020-01-01 00,0,2,1,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,2,0,0,0.0,48,0,0,0,1,0.718,42.9,15.7,73.1,64.4
2020-01-01 01,1,2,1,1,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2,1,2,0,0,1.0,49,0,0,0,1,0.587,33.6,10.1,74.8,66.0
2020-01-01 02,2,2,1,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,4,2,2,0,0,2.0,50,0,0,0,1,,29.3,5.1,51.0,44.9
2020-01-01 03,3,2,1,1,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,6,3,2,0,0,3.0,51,0,0,0,1,0.246,30.5,7.2,27.7,25.1
2020-01-01 04,4,2,1,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,8,4,2,0,0,4.0,52,0,0,0,1,0.204,29.3,8.3,15.3,13.6
2020-01-01 05,5,2,1,1,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,10,5,2,0,0,5.0,53,0,0,0,1,0.242,32.5,5.5,13.9,13.2
2020-01-01 06,6,2,1,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,12,6,2,0,0,6.0,54,0,0,0,1,0.254,30.9,4.0,18.9,17.4
2020-01-01 07,7,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,14,7,2,0,0,7.0,55,0,0,0,1,0.253,25.8,3.9,20.6,17.3
2020-01-01 08,8,2,1,1,0,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,16,8,2,0,0,8.0,56,0,0,0,1,0.28,22.1,4.9,18.6,17.1
2020-01-01 09,9,2,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,18,9,2,0,0,9.0,57,0,0,0,1,0.289,21.0,6.4,19.8,16.5
2020-01-01 10,10,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,20,10,2,0,0,10.0,58,0,0,0,1,0.302,20.8,8.1,19.1,17.1
2020-01-01 11,11,2,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,22,11,2,0,0,11.0,59,0,0,0,1,0.295,21.0,8.8,21.6,17.8
2020-01-01 12,12,2,1,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,24,12,2,0,0,12.0,60,0,0,0,1,0.308,24.6,7.9,24.7,21.7
2020-01-01 13,13,2,1,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,26,13,2,0,0,13.0,61,0,0,0,1,0.302,26.9,6.8,27.3,26.0
2020-01-01 14,14,2,1,1,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,28,14,2,0,0,14.0,62,0,0,0,1,0.279,26.3,7.1,27.5,23.3
2020-01-01 15,15,2,1,1,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,30,15,2,0,0,15.0,63,0,0,0,1,0.317,30.1,5.3,25.6,22.3
2020-01-01 16,16,2,1,1,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,32,16,2,0,0,16.0,64,0,0,0,1,0.32,30.5,3.8,26.3,23.1
2020-01-01 17,17,2,1,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,34,17,2,0,0,17.0,65,0,0,0,1,0.331,30.9,4.0,23.2,19.8
2020-01-01 18,18,2,1,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,36,18,2,0,0,18.0,66,0,0,0,1,0.367,30.5,4.8,25.1,20.8
2020-01-01 19,19,2,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,38,19,2,0,0,19.0,67,0,0,0,1,0.38,30.7,4.6,28.0,21.6
2020-01-01 20,20,2,1,1,0,-0.8660254037844386,0.5,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,40,20,2,0,0,20.0,68,0,0,0,1,0.348,28.2,4.8,25.9,22.8
2020-01-01 21,21,2,1,1,0,-0.7071067811865477,0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,42,21,2,0,0,21.0,69,0,0,0,1,0.32,27.3,3.9,23.5,20.6
2020-01-01 22,22,2,1,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,44,22,2,0,0,22.0,70,0,0,0,1,0.309,26.3,3.9,22.0,21.3
2020-01-01 23,23,2,1,1,0,-0.2588190451025215,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,46,23,2,0,0,23.0,71,0,0,0,1,0.315,24.1,3.4,21.7,21.5
2020-01-02 00,0,3,1,2,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,3,0,0,0.0,72,0,0,0,1,0.309,21.6,3.2,20.7,16.8
2020-01-02 01,1,3,1,2,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,3,1,3,0,0,1.0,73,0,0,0,1,0.31,21.3,3.4,18.5,16.0
2020-01-02 02,2,3,1,2,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,6,2,3,0,0,2.0,74,0,0,0,1,,21.0,3.7,16.8,16.3
2020-01-02 03,3,3,1,2,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,9,3,3,0,0,3.0,75,0,0,0,1,0.302,21.3,3.7,15.0,14.3
2020-01-02 04,4,3,1,2,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12,4,3,0,0,4.0,76,0,0,0,1,0.305,23.5,2.5,15.6,12.4
2020-01-02 05,5,3,1,2,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,15,5,3,0,0,5.0,77,0,0,0,1,0.332,27.4,2.1,15.1,12.8
2020-01-02 06,6,3,1,2,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,18,6,3,0,0,6.0,78,0,0,0,1,0.335,29.8,1.9,17.7,14.1
2020-01-02 07,7,3,1,2,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,21,7,3,0,0,7.0,79,0,0,0,1,0.434,37.2,2.5,17.3,13.6
2020-01-02 08,8,3,1,2,0,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,24,8,3,0,0,8.0,80,0,0,0,1,0.465,39.8,3.0,19.8,13.4
2020-01-02 09,9,3,1,2,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,27,9,3,0,0,9.0,81,0,0,0,1,0.474,44.2,4.9,22.6,15.9
2020-01-02 10,10,3,1,2,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,30,10,3,0,0,10.0,82,0,0,0,1,0.346,44.9,9.4,23.8,15.4
2020-01-02 11,11,3,1,2,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,33,11,3,0,0,11.0,83,0,0,0,1,0.277,38.9,15.1,19.7,13.9
2020-01-02 12,12,3,1,2,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,36,12,3,0,0,12.0,84,0,0,0,1,0.28,39.3,17.6,17.1,12.8
2020-01-02 13,13,3,1,2,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,39,13,3,0,0,13.0,85,0,0,0,1,0.272,41.1,19.1,21.0,10.8
2020-01-02 14,14,3,1,2,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,42,14,3,0,0,14.0,86,0,0,0,1,0.255,42.2,21.7,16.6,10.1
2020-01-02 15,15,3,1,2,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,45,15,3,0,0,15.0,87,0,0,0,1,0.239,46.0,19.9,18.6,9.7
2020-01-02 16,16,3,1,2,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,48,16,3,0,0,16.0,88,0,0,0,1,0.269,52.3,13.4,13.4,8.0
2020-01-02 17,17,3,1,2,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,51,17,3,0,0,17.0,89,0,0,0,1,0.309,55.1,8.9,16.2,9.5
2020-01-02 18,18,3,1,2,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,54,18,3,0,0,18.0,90,0,0,0,1,0.283,44.5,12.9,20.1,12.7
2020-01-02 19,19,3,1,2,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,57,19,3,0,0,19.0,91,0,0,0,1,0.286,45.7,9.9,24.3,17.7
2020-01-02 20,20,3,1,2,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,60,20,3,0,0,20.0,92,0,0,0,1,0.25,37.8,16.8,26.6,16.6
2020-01-02 21,21,3,1,2,0,-0.7071067811865477,0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,63,21,3,0,0,21.0,93,0,0,0,1,0.214,27.1,30.1,20.9,13.9
2020-01-02 22,22,3,1,2,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,66,22,3,0,0,22.0,94,0,0,0,1,0.211,21.8,36.8,17.3,12.2
2020-01-02 23,23,3,1,2,0,-0.2588190451025215,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,69,23,3,0,0,23.0,95,0,0,0,1,0.188,18.7,38.9,17.2,10.7
2020-01-03 00,0,4,1,3,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,4,0,0,0.0,96,0,1,0,1,0.185,15.4,39.5,15.5,12.0
2020-01-03 01,1,4,1,3,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,4,1,4,0,0,1.0,97,0,1,0,1,0.183,14.1,39.9,16.0,10.0
2020-01-03 02,2,4,1,3,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,8,2,4,0,0,2.0,98,0,1,0,1,,11.7,43.5,17.1,6.6
2020-01-03 03,3,4,1,3,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12,3,4,0,0,3.0,99,0,1,0,1,0.164,11.5,44.0,15.7,6.6
2020-01-03 04,4,4,1,3,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,16,4,4,0,0,4.0,100,0,1,0,1,0.182,12.2,42.9,15.8,9.1
2020-01-03 05,5,4,1,3,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,20,5,4,0,0,5.0,101,0,1,0,1,0.202,19.8,35.4,18.8,11.2
2020-01-03 06,6,4,1,3,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,24,6,4,0,0,6.0,102,0,1,0,1,0.223,27.7,28.0,18.5,10.1
2020-01-03 07,7,4,1,3,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,28,7,4,0,0,7.0,103,0,1,0,1,0.236,28.9,26.7,13.5,10.1
2020-01-03 08,8,4,1,3,0,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,32,8,4,0,0,8.0,104,0,1,0,1,0.303,39.0,16.9,15.1,10.5
